"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,178,"PER","Peru",1,"Amazonas","Región","Region",NA,NA
2,178,"PER","Peru",2,"Ancash","Región","Region",NA,"Ancachs"
3,178,"PER","Peru",3,"Apurímac","Región","Region",NA,"Apuromac"
4,178,"PER","Peru",4,"Arequipa","Región","Region",NA,NA
5,178,"PER","Peru",5,"Ayacucho","Región","Region",NA,NA
6,178,"PER","Peru",6,"Cajamarca","Región","Region",NA,"Caxamarca"
7,178,"PER","Peru",7,"Callao","Provincia","Province",NA,"El Callao"
8,178,"PER","Peru",8,"Cusco","Región","Region",NA,"Cuzco|Qosqo"
9,178,"PER","Peru",9,"Huánuco","Región","Region",NA,"Huknuco"
10,178,"PER","Peru",10,"Huancavelica","Región","Region",NA,NA
11,178,"PER","Peru",11,"Ica","Región","Region",NA,NA
12,178,"PER","Peru",12,"Junín","Región","Region",NA,"Junnn"
13,178,"PER","Peru",13,"La Libertad","Región","Region",NA,"Libertad"
14,178,"PER","Peru",14,"Lambayeque","Región","Region",NA,NA
15,178,"PER","Peru",15,"Lima Province","Provincia","Province",NA,NA
16,178,"PER","Peru",16,"Lima","Región","Region",NA,NA
17,178,"PER","Peru",17,"Loreto","Región","Region",NA,NA
18,178,"PER","Peru",18,"Madre de Dios","Región","Region",NA,NA
19,178,"PER","Peru",19,"Moquegua","Región","Region",NA,NA
20,178,"PER","Peru",20,"Pasco","Región","Region",NA,NA
21,178,"PER","Peru",21,"Piura","Región","Region",NA,NA
22,178,"PER","Peru",22,"Puno","Región","Region",NA,NA
23,178,"PER","Peru",23,"San Martín","Región","Region",NA,"San Mart"
24,178,"PER","Peru",24,"Tacna","Región","Region",NA,NA
25,178,"PER","Peru",25,"Tumbes","Región","Region",NA,"Tumbez"
26,178,"PER","Peru",26,"Ucayali","Región","Region",NA,NA
